ref_organ,ref_organ_part,parent,child,parent_label,child_label
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_superior_rectal_artery,UBERON:0035040,UBERON:0001183,superior rectal artery,inferior mesenteric artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_internal_iliac_vein_R,UBERON:0001317,FMA:18894,internal iliac vein,Right middle rectal vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_middle_rectal_vein_R,FMA:18894,UBERON:0001317,Right middle rectal vein,internal iliac vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_inferior_pancreaticoduodenal_vein,FMA:0329299,UBERON:0001218,Inferior pancreaticoduodenal vein,middle colic vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_middle_colic_vein,UBERON:0001218,FMA:0329299,middle colic vein,Inferior pancreaticoduodenal vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_left_circumflex_artery,UBERON:0035422,FMA:3902,circumflex branch of left coronary artery,Left marginal artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_left_marginal_branch,FMA:3902,UBERON:0035422,Left marginal artery,circumflex branch of left coronary artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_coronary_sinus,UBERON:0005438,UBERON:0001625,coronary sinus,right coronary artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_right_coronary_artery,UBERON:0001625,UBERON:0005438,right coronary artery,coronary sinus
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_aortic_arch,UBERON:0001508,UBERON:0001514,arch of aorta,descending aorta
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_descending_aorta_a,UBERON:0001514,UBERON:0001508,descending aorta,arch of aorta
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_left_hepatic_artery,FMA:14779,FMA:14772,Left hepatic artery,Hepatic artery proper
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_proper_hepatic_artery,FMA:14772,FMA:14779,Hepatic artery proper,Left hepatic artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_inferior_pancreaticoduodenal_vein,FMA:0329299,UBERON:0001138,Inferior pancreaticoduodenal vein,superior mesenteric vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_superior_mesenteric_vein,UBERON:0001138,FMA:0329299,superior mesenteric vein,Inferior pancreaticoduodenal vein
